20:58:50 root 	 INFO 	 SwarmSailor Log Started
20:58:51 PyQt5.uic.uiparser 	 DEBUG 	 uiname is MainWindow
20:58:51 PyQt5.uic.uiparser 	 DEBUG 	 toplevel widget is Ui
20:58:51 PyQt5.uic.properties 	 DEBUG 	 setting property geometry
20:58:51 PyQt5.uic.properties 	 DEBUG 	 setting property font
20:58:51 PyQt5.uic.properties 	 DEBUG 	 setting property mouseTracking
20:58:51 PyQt5.uic.properties 	 DEBUG 	 setting property windowTitle
20:58:51 PyQt5.uic.uiparser 	 DEBUG 	 push Ui MainWindow
20:58:51 PyQt5.uic.uiparser 	 DEBUG 	 push QWidget gridLayoutWidget
20:58:51 PyQt5.uic.properties 	 DEBUG 	 setting property leftMargin
20:58:51 PyQt5.uic.properties 	 DEBUG 	 setting property topMargin
20:58:51 PyQt5.uic.properties 	 DEBUG 	 setting property rightMargin
20:58:51 PyQt5.uic.properties 	 DEBUG 	 setting property bottomMargin
20:58:51 PyQt5.uic.properties 	 DEBUG 	 setting property pyuicMargins
20:58:51 PyQt5.uic.uiparser 	 DEBUG 	 push QGridLayout gridLayout
20:58:51 PyQt5.uic.properties 	 DEBUG 	 setting property text
20:58:51 PyQt5.uic.uiparser 	 DEBUG 	 push QPushButton Button_Open_Port
20:58:51 PyQt5.uic.uiparser 	 DEBUG 	 pop widget QPushButton Button_Open_Port
20:58:51 PyQt5.uic.uiparser 	 DEBUG 	 new topwidget <PyQt5.QtWidgets.QWidget object at 0x000002D7987827A0>
20:58:51 PyQt5.uic.properties 	 DEBUG 	 setting property minimumSize
20:58:51 PyQt5.uic.properties 	 DEBUG 	 setting property text
20:58:51 PyQt5.uic.properties 	 DEBUG 	 setting property textInteractionFlags
20:58:51 PyQt5.uic.uiparser 	 DEBUG 	 push QLabel data_network_status
20:58:51 PyQt5.uic.uiparser 	 DEBUG 	 pop widget QLabel data_network_status
20:58:51 PyQt5.uic.uiparser 	 DEBUG 	 new topwidget <PyQt5.QtWidgets.QWidget object at 0x000002D7987827A0>
20:58:51 PyQt5.uic.properties 	 DEBUG 	 setting property sizePolicy
20:58:51 PyQt5.uic.properties 	 DEBUG 	 setting property text
20:58:51 PyQt5.uic.uiparser 	 DEBUG 	 push QLabel label_GNSS_status
20:58:51 PyQt5.uic.uiparser 	 DEBUG 	 pop widget QLabel label_GNSS_status
20:58:51 PyQt5.uic.uiparser 	 DEBUG 	 new topwidget <PyQt5.QtWidgets.QWidget object at 0x000002D7987827A0>
20:58:51 PyQt5.uic.properties 	 DEBUG 	 setting property text
20:58:51 PyQt5.uic.properties 	 DEBUG 	 setting property textInteractionFlags
20:58:51 PyQt5.uic.uiparser 	 DEBUG 	 push QLabel data_COM_Status
20:58:51 PyQt5.uic.uiparser 	 DEBUG 	 pop widget QLabel data_COM_Status
20:58:51 PyQt5.uic.uiparser 	 DEBUG 	 new topwidget <PyQt5.QtWidgets.QWidget object at 0x000002D7987827A0>
20:58:51 PyQt5.uic.properties 	 DEBUG 	 setting property orientation
20:58:51 PyQt5.uic.uiparser 	 DEBUG 	 push QFrame line
20:58:51 PyQt5.uic.uiparser 	 DEBUG 	 pop widget QFrame line
20:58:51 PyQt5.uic.uiparser 	 DEBUG 	 new topwidget <PyQt5.QtWidgets.QWidget object at 0x000002D7987827A0>
20:58:51 PyQt5.uic.properties 	 DEBUG 	 setting property sizePolicy
20:58:51 PyQt5.uic.properties 	 DEBUG 	 setting property text
20:58:51 PyQt5.uic.uiparser 	 DEBUG 	 push QPushButton Button_Close_Port
20:58:51 PyQt5.uic.uiparser 	 DEBUG 	 pop widget QPushButton Button_Close_Port
20:58:51 PyQt5.uic.uiparser 	 DEBUG 	 new topwidget <PyQt5.QtWidgets.QWidget object at 0x000002D7987827A0>
20:58:51 PyQt5.uic.properties 	 DEBUG 	 setting property sizePolicy
20:58:51 PyQt5.uic.properties 	 DEBUG 	 setting property text
20:58:51 PyQt5.uic.uiparser 	 DEBUG 	 push QLabel label_Messages
20:58:51 PyQt5.uic.uiparser 	 DEBUG 	 pop widget QLabel label_Messages
20:58:51 PyQt5.uic.uiparser 	 DEBUG 	 new topwidget <PyQt5.QtWidgets.QWidget object at 0x000002D7987827A0>
20:58:51 PyQt5.uic.uiparser 	 DEBUG 	 push QWidget advancedSection
20:58:51 PyQt5.uic.properties 	 DEBUG 	 setting property leftMargin
20:58:51 PyQt5.uic.properties 	 DEBUG 	 setting property topMargin
20:58:51 PyQt5.uic.properties 	 DEBUG 	 setting property rightMargin
20:58:51 PyQt5.uic.properties 	 DEBUG 	 setting property bottomMargin
20:58:51 PyQt5.uic.properties 	 DEBUG 	 setting property spacing
20:58:51 PyQt5.uic.properties 	 DEBUG 	 setting property pyuicMargins
20:58:51 PyQt5.uic.properties 	 DEBUG 	 setting property pyuicSpacing
20:58:51 PyQt5.uic.uiparser 	 DEBUG 	 push QGridLayout advancedSection_layout
20:58:51 PyQt5.uic.properties 	 DEBUG 	 setting property toolTip
20:58:51 PyQt5.uic.properties 	 DEBUG 	 setting property text
20:58:51 PyQt5.uic.uiparser 	 DEBUG 	 push QPushButton Button_Serial_Monitor_Send
20:58:51 PyQt5.uic.uiparser 	 DEBUG 	 pop widget QPushButton Button_Serial_Monitor_Send
20:58:51 PyQt5.uic.uiparser 	 DEBUG 	 new topwidget <PyQt5.QtWidgets.QWidget object at 0x000002D798782CB0>
20:58:51 PyQt5.uic.uiparser 	 DEBUG 	 push QPlainTextEdit Serial_Monitor_Display
20:58:51 PyQt5.uic.uiparser 	 DEBUG 	 pop widget QPlainTextEdit Serial_Monitor_Display
